Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
29484545,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE118,,,,,9 [4-17],9.4666,4.11339,16.66689,,2022-08-26T09:13:11.643+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484546,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE113,,,,,84 [60-106],83.95202,59.74797,106.37758,,2022-08-26T09:13:11.66+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484547,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE039,,,,,16 [12-21],15.97986,11.68464,20.60855,,2022-08-26T09:13:11.677+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484548,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE114,,,,,32 [17-50],31.66766,17.12944,50.27965,,2022-08-26T09:13:11.707+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484549,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE000,,,,,143 [111-178],142.60102,110.79829,177.86966,,2022-08-26T09:13:11.723+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484550,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,BTSX,ENVCAUSE,ENVCAUSE068,,,,,2 [1-2],1.53488,0.99136,2.14816,,2022-08-26T09:13:11.74+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484551,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE118,,,,,9 [4-16],8.82543,3.83479,15.53805,,2022-08-26T09:13:11.74+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484552,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE113,,,,,80 [57-102],80.32668,57.16784,101.78382,,2022-08-26T09:13:11.77+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484553,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE039,,,,,14 [10-18],14.25737,10.42513,18.38713,,2022-08-26T09:13:11.783+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484554,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE114,,,,,36 [19-57],35.63078,19.27315,56.57202,,2022-08-26T09:13:11.817+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484555,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE000,,,,,140 [108-176],139.84845,108.30495,176.48476,,2022-08-26T09:13:11.83+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484556,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,FMLE,ENVCAUSE,ENVCAUSE068,,,,,1 [1-1],0.80819,0.522,1.13111,,2022-08-26T09:13:11.847+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484557,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE118,,,,,10 [4-18],10.19846,4.43139,17.95541,,2022-08-26T09:13:11.863+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29484558,AIR_42,COUNTRY,AFG,YEAR,2019,SEX,MLE,ENVCAUSE,ENVCAUSE113,,,,,87 [62-111],87.2706,62.10978,110.58263,,2022-08-26T09:13:11.88+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
