Id,IndicatorCode,SpatialDimType,SpatialDim,TimeDimType,TimeDim,Dim1Type,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
29456352,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,CITY,,,,,,,92.79 [66.17-128.44],92.79277,66.16662,128.44125,,2022-08-12T08:58:50.06+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456353,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,68.97 [49.48-96.51],68.96605,49.48253,96.51297,,2022-08-12T08:58:50.073+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456354,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,RUR,,,,,,,61.81 [42.68-87.77],61.81464,42.68402,87.77431,,2022-08-12T08:58:50.09+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456355,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,TOWN,,,,,,,69.67 [48.91-98.81],69.67321,48.91039,98.81156,,2022-08-12T08:58:50.09+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456356,SDGPM25,COUNTRY,AFG,YEAR,2010,RESIDENCEAREATYPE,URB,,,,,,,83.13 [60.37-117.80],83.12652,60.36542,117.79976,,2022-08-12T08:58:50.103+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456357,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,CITY,,,,,,,89.57 [64.75-122.95],89.56683,64.75261,122.94666,,2022-08-12T08:58:50.12+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
29456358,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,TOTL,,,,,,,66.94 [48.90-92.62],66.94454,48.90072,92.61683,,2022-08-12T08:58:50.137+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
29456359,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,RUR,,,,,,,60.11 [42.82-83.13],60.1099,42.81533,83.13299,,2022-08-12T08:58:50.137+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
29456360,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,TOWN,,,,,,,67.72 [48.37-93.74],67.71935,48.37312,93.74326,,2022-08-12T08:58:50.15+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
29456361,SDGPM25,COUNTRY,AFG,YEAR,2011,RESIDENCEAREATYPE,URB,,,,,,,80.45 [57.67-110.73],80.45496,57.6739,110.73294,,2022-08-12T08:58:50.167+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
29456362,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,CITY,,,,,,,92.04 [66.43-125.87],92.03952,66.42646,125.86934,,2022-08-12T08:58:50.183+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
29456363,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,TOTL,,,,,,,68.26 [49.60-94.02],68.25744,49.59602,94.01766,,2022-08-12T08:58:50.2+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
29456364,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,RUR,,,,,,,61.09 [42.74-83.77],61.09035,42.73541,83.76946,,2022-08-12T08:58:50.213+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
29456365,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,TOWN,,,,,,,68.88 [49.03-95.50],68.87935,49.03133,95.50037,,2022-08-12T08:58:50.213+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
29456366,SDGPM25,COUNTRY,AFG,YEAR,2012,RESIDENCEAREATYPE,URB,,,,,,,82.40 [58.99-112.42],82.40277,58.99375,112.41686,,2022-08-12T08:58:50.23+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
29456367,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,CITY,,,,,,,97.49 [70.24-132.95],97.49402,70.23622,132.94704,,2022-08-12T08:58:50.247+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
29456368,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,TOTL,,,,,,,72.18 [52.57-99.67],72.18289,52.57123,99.66944,,2022-08-12T08:58:50.247+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
29456369,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,RUR,,,,,,,64.50 [45.48-88.98],64.49672,45.48141,88.98175,,2022-08-12T08:58:50.26+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
29456370,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,TOWN,,,,,,,73.01 [51.94-101.69],73.01433,51.94303,101.68761,,2022-08-12T08:58:50.277+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
29456371,SDGPM25,COUNTRY,AFG,YEAR,2013,RESIDENCEAREATYPE,URB,,,,,,,87.33 [62.40-118.86],87.33072,62.40365,118.85741,,2022-08-12T08:58:50.293+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
29456372,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,CITY,,,,,,,91.92 [66.24-125.70],91.91565,66.23644,125.69501,,2022-08-12T08:58:50.293+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29456373,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,TOTL,,,,,,,68.06 [49.36-93.43],68.05715,49.35964,93.42773,,2022-08-12T08:58:50.31+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29456374,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,RUR,,,,,,,60.79 [42.86-83.22],60.7896,42.85654,83.22114,,2022-08-12T08:58:50.34+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29456375,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,TOWN,,,,,,,68.85 [49.33-95.36],68.8538,49.33139,95.35871,,2022-08-12T08:58:50.34+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29456376,SDGPM25,COUNTRY,AFG,YEAR,2014,RESIDENCEAREATYPE,URB,,,,,,,82.36 [58.88-111.54],82.36092,58.8827,111.53815,,2022-08-12T08:58:50.357+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
29456377,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,CITY,,,,,,,90.88 [65.86-123.35],90.8823,65.86298,123.34804,,2022-08-12T08:58:50.37+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29456378,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,TOTL,,,,,,,67.20 [49.05-92.67],67.2032,49.04869,92.66884,,2022-08-12T08:58:50.387+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29456379,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,RUR,,,,,,,59.99 [42.52-81.99],59.99269,42.52335,81.99041,,2022-08-12T08:58:50.403+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29456380,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,TOWN,,,,,,,67.90 [48.45-94.10],67.89566,48.44933,94.09811,,2022-08-12T08:58:50.403+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29456381,SDGPM25,COUNTRY,AFG,YEAR,2015,RESIDENCEAREATYPE,URB,,,,,,,81.38 [58.50-110.14],81.37742,58.50318,110.13638,,2022-08-12T08:58:50.42+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
29456382,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,CITY,,,,,,,86.91 [63.04-118.61],86.90798,63.04097,118.61047,,2022-08-12T08:58:50.433+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29456383,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,TOTL,,,,,,,64.00 [46.01-87.23],64.00314,46.00713,87.23201,,2022-08-12T08:58:50.45+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29456384,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,RUR,,,,,,,57.00 [40.09-78.69],56.99896,40.08932,78.6921,,2022-08-12T08:58:50.45+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29456385,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,TOWN,,,,,,,64.73 [46.41-88.39],64.73451,46.40931,88.39155,,2022-08-12T08:58:50.467+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29456386,SDGPM25,COUNTRY,AFG,YEAR,2016,RESIDENCEAREATYPE,URB,,,,,,,77.76 [55.59-105.83],77.75643,55.58758,105.83117,,2022-08-12T08:58:50.48+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
29456387,SDGPM25,COUNTRY,AFG,YEAR,2017,RESIDENCEAREATYPE,CITY,,,,,,,83.49 [60.22-114.88],83.49087,60.22479,114.88189,,2022-08-12T08:58:50.497+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
29456388,SDGPM25,COUNTRY,AFG,YEAR,2017,RESIDENCEAREATYPE,TOTL,,,,,,,61.78 [44.81-85.24],61.77561,44.80775,85.24496,,2022-08-12T08:58:50.497+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
29456389,SDGPM25,COUNTRY,AFG,YEAR,2017,RESIDENCEAREATYPE,RUR,,,,,,,55.08 [39.01-75.78],55.08079,39.00972,75.77676,,2022-08-12T08:58:50.51+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
29456390,SDGPM25,COUNTRY,AFG,YEAR,2017,RESIDENCEAREATYPE,TOWN,,,,,,,62.66 [45.03-86.93],62.6579,45.0329,86.93407,,2022-08-12T08:58:50.527+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
29456391,SDGPM25,COUNTRY,AFG,YEAR,2017,RESIDENCEAREATYPE,URB,,,,,,,74.91 [53.88-103.01],74.90788,53.87638,103.00719,,2022-08-12T08:58:50.543+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
29456392,SDGPM25,COUNTRY,AFG,YEAR,2018,RESIDENCEAREATYPE,CITY,,,,,,,92.57 [67.33-126.55],92.57329,67.32551,126.54507,,2022-08-12T08:58:50.543+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
29456393,SDGPM25,COUNTRY,AFG,YEAR,2018,RESIDENCEAREATYPE,TOTL,,,,,,,70.25 [50.62-97.15],70.25405,50.6232,97.14645,,2022-08-12T08:58:50.56+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
29456394,SDGPM25,COUNTRY,AFG,YEAR,2018,RESIDENCEAREATYPE,RUR,,,,,,,63.50 [44.48-87.48],63.49642,44.48142,87.48171,,2022-08-12T08:58:50.573+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
29456395,SDGPM25,COUNTRY,AFG,YEAR,2018,RESIDENCEAREATYPE,TOWN,,,,,,,70.50 [50.88-97.95],70.50465,50.88022,97.95453,,2022-08-12T08:58:50.59+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
29456396,SDGPM25,COUNTRY,AFG,YEAR,2018,RESIDENCEAREATYPE,URB,,,,,,,83.50 [60.10-113.39],83.49673,60.09902,113.39178,,2022-08-12T08:58:50.607+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
29456397,SDGPM25,COUNTRY,AFG,YEAR,2019,RESIDENCEAREATYPE,CITY,,,,,,,84.04 [60.77-114.90],84.04458,60.76703,114.90477,,2022-08-12T08:58:50.607+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29456398,SDGPM25,COUNTRY,AFG,YEAR,2019,RESIDENCEAREATYPE,TOTL,,,,,,,62.49 [45.04-86.46],62.48616,45.0385,86.46475,,2022-08-12T08:58:50.62+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29456399,SDGPM25,COUNTRY,AFG,YEAR,2019,RESIDENCEAREATYPE,RUR,,,,,,,56.00 [39.42-77.13],55.999,39.42253,77.12935,,2022-08-12T08:58:50.637+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29456400,SDGPM25,COUNTRY,AFG,YEAR,2019,RESIDENCEAREATYPE,TOWN,,,,,,,62.47 [44.97-86.91],62.47345,44.96836,86.90964,,2022-08-12T08:58:50.637+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29456401,SDGPM25,COUNTRY,AFG,YEAR,2019,RESIDENCEAREATYPE,URB,,,,,,,75.19 [53.87-102.87],75.18718,53.87133,102.87359,,2022-08-12T08:58:50.653+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
29456402,SDGPM25,COUNTRY,AGO,YEAR,2010,RESIDENCEAREATYPE,CITY,,,,,,,27.20 [5.35-95.36],27.20078,5.35222,95.36001,,2022-08-12T08:58:50.67+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
29456403,SDGPM25,COUNTRY,AGO,YEAR,2010,RESIDENCEAREATYPE,TOTL,,,,,,,24.20 [6.17-65.55],24.1984,6.16704,65.55157,,2022-08-12T08:58:50.683+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
